ID,R,G,B
1,231,76,60
2,230,126,34
3,255,205,2
4,26,188,156
5,68,171,240
6,239,113,122
7,165,198,59
8,155,89,182
9,192,57,43
10,163,134,113
11,255,168,0
12,22,160,133
13,52,152,219
14,217,84,89
15,142,176,33
16,116,94,197
17,211,84,0
18,240,222,180
19,253,235,81
20,46,204,113
21,41,128,185
22,212,92,158
23,253,255,255
24,12,10,10
1,222,24,108
2,254,69,156
3,232,22,49
4,255,120,132
5,249,213,93
6,175,113,196
7,222,94,206
8,118,229,170
9,254,140,219
10,255,175,152
11,246,208,182
12,207,171,238
13,153,196,235
14,231,186,100
15,180,218,128
16,111,228,243
1,51,96,82
2,109,116,15
3,178,75,39
4,111,46,19
5,215,64,6
6,252,210,139
7,95,172,161
8,79,73,18
9,68,116,72
10,63,102,31
11,177,116,47
12,147,24,36
13,234,145,116
14,220,184,138
15,180,218,128
16,126,119,104
17,114,140,67
18,186,194,35
19,209,143,50
20,170,23,42
1,189,143,9
2,231,194,37
3,44,70,24
4,76,115,57
5,173,194,218
6,65,99,146
7,114,179,176
8,170,83,94
9,226,132,75
10,212,208,178
11,25,28,24
12,64,143,180
13,241,194,122
14,248,239,215
15,82,126,130
16,209,229,170
17,162,159,144
18,114,124,87
19,192,190,144
20,129,130,174
1,255,60,43
2,235,104,134
3,255,163,143
4,255,182,205
5,255,219,217
6,203,171,37
7,255,240,0
8,233,217,168
9,0,69,5
10,0,153,23
11,49,215,138
12,0,177,169
13,0,221,218
14,216,158,158
15,175,98,164
16,193,0,173
17,0,0,3
18,255,255,252
1,250,246,26
2,176,251,141
3,253,88,33
4,35,219,232
5,236,35,237
6,140,247,189
7,34,91,248
8,110,111,250
9,251,45,113
10,142,162,42
11,249,177,143
12,178,77,248
13,210,248,180
14,251,212,109
15,51,232,151
16,207,247,69
17,91,15,156
18,146,7,20
19,8,3,148
20,45,93,25
1,99,167,199
2,104,202,207
3,160,206,177
4,35,109,138
5,230,133,113
6,245,200,133
7,236,127,152
8,174,113,146
9,169,208,224
10,191,226,236
11,203,230,213
12,58,143,163
13,249,170,138
14,179,150,116
15,249,180,188
16,210,96,110
17,137,226,242
18,242,245,255
19,116,126,98
20,84,175,191
1,239,153,35
2,173,48,61
3,160,89,24
4,51,114,116
5,15,99,191
6,100,163,217
7,52,64,86
8,174,113,146
9,249,203,44
10,222,75,68
11,115,51,46
12,6,133,148
13,23,34,101
14,7,148,222
15,175,187,201
16,253,203,200
17,249,215,172
18,100,23,23
19,56,42,41
20,46,175,166